ROI	Subj1	Subj2	Y	Video	Subj1Group	Subj2Group	GroupStr	VideoType
Frontoparietal	BSCMR008	BSCMR017	-0.0192666	v5002	B	B	B_B	neutral
Default	BSCMR008	BSCMR017	-0.666132	v5002	B	B	B_B	neutral
Visual	BSCMR008	BSCMR017	-0.329282	v5008	B	B	B_B	neutral
Somatomotor	BSCMR008	BSCMR017	-0.343236	v5008	B	B	B_B	neutral
Dorsal_Attention	BSCMR008	BSCMR017	0.0780029	v5008	B	B	B_B	neutral
Ventral_Attention	BSCMR008	BSCMR017	-0.20671	v5008	B	B	B_B	neutral
Limbic	BSCMR008	BSCMR017	-0.0349236	v5008	B	B	B_B	neutral
Frontoparietal	BSCMR008	BSCMR017	-0.166171	v5008	B	B	B_B	neutral
Default	BSCMR008	BSCMR017	0.263641	v5008	B	B	B_B	neutral
Visual	BSCMR008	BSCMR018	0.0143629	v1001	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR018	0.314037	v1001	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR018	-0.0120746	v1001	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR018	-0.504994	v1001	B	B	B_B	horror
Limbic	BSCMR008	BSCMR018	-0.280793	v1001	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR018	0.0495485	v1001	B	B	B_B	horror
Default	BSCMR008	BSCMR018	0.666754	v1001	B	B	B_B	horror
Visual	BSCMR008	BSCMR018	0.482079	v1002	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR018	-0.0999132	v1002	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR018	-0.172091	v1002	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR018	-0.14512	v1002	B	B	B_B	horror
Limbic	BSCMR008	BSCMR018	-0.118712	v1002	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR018	0.161418	v1002	B	B	B_B	horror
Default	BSCMR008	BSCMR018	-0.287497	v1002	B	B	B_B	horror
Visual	BSCMR008	BSCMR018	0.613968	v1006	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR018	0.417901	v1006	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR018	-0.0179155	v1006	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR018	-0.720478	v1006	B	B	B_B	horror
Limbic	BSCMR008	BSCMR018	0.251405	v1006	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR018	0.19239	v1006	B	B	B_B	horror
Default	BSCMR008	BSCMR018	-0.00265183	v1006	B	B	B_B	horror
Visual	BSCMR008	BSCMR018	0.336486	v1007	B	B	B_B	horror
Somatomotor	BSCMR008	BSCMR018	0.589119	v1007	B	B	B_B	horror
Dorsal_Attention	BSCMR008	BSCMR018	0.213621	v1007	B	B	B_B	horror
Ventral_Attention	BSCMR008	BSCMR018	0.463448	v1007	B	B	B_B	horror
Limbic	BSCMR008	BSCMR018	0.455755	v1007	B	B	B_B	horror
Frontoparietal	BSCMR008	BSCMR018	0.813374	v1007	B	B	B_B	horror
Default	BSCMR008	BSCMR018	0.390346	v1007	B	B	B_B	horror
Visual	BSCMR008	BSCMR018	-0.471444	v2000	B	B	B_B	erotic
Somatomotor	BSCMR008	BSCMR018	0.0706762	v2000	B	B	B_B	erotic
Dorsal_Attention	BSCMR008	BSCMR018	-0.0452575	v2000	B	B	B_B	erotic
Ventral_Attention	BSCMR008	BSCMR018	0.00627005	v2000	B	B	B_B	erotic
Limbic	BSCMR008	BSCMR018	-0.40385	v2000	B	B	B_B	erotic
Frontoparietal	BSCMR008	BSCMR018	0.11589	v2000	B	B	B_B	erotic
Default	BSCMR008	BSCMR018	0.325076	v2000	B	B	B_B	erotic
Visual	BSCMR008	BSCMR018	-0.587905	v2002	B	B	B_B	erotic
